LANGUAGE,English,Comment

STRM_ONLOAD_MISSION,"Above the sea, south-west of Morton",On load mission
STRM_ONLOAD_INTRO,"Everon",On load intro

STRM_01v01,"We're almost there, comrades! Listen up!",Dostoevsky
STRM_01v02,"Our goal is the coastal village of Morton. We attack from the west. We're team Anton, team Boris supports us from the east.",Dostoevsky
STRM_01v03,"There are no armoured vehicles reported in the village and they do not expect us, but be careful nonetheless.",Dostoevsky
STRM_01v04,"Remember your training! Take cover whenever possible. Use the buildings, stay off open ground. Fire when you have a clear shot.",Dostoevsky
STRM_01v05,"Follow my lead and good luck!",Dostoevsky

STRM_01r01,"WITH ME, COMRADES. KEEP FORMATION. WE CONTINUE TO THE VILLAGE.",Dostoevsky
STRM_01r02,"BAZA TO ANTON. MISSION COMPLETED. FORTIFY YOUR POSITIONS WITH BORIS AND AWAIT FURTHER ORDERS. BAZA OUT.",baza
STRM_01r03,"ANTON TO BORIS, WE'RE IN POSITION AND ADVANCING TO MORTON. OVER.",Dostoevsky
STRM_01r04,"BORIS TO ANTON, WE'RE COMING ALONG THE EASTERN ROAD. WE'LL SEE YOU IN THE VILLAGE. OUT.",boris

STRM_WAYPOINT_GETOUT,"APPROACH THE VILLAGE",vysadek
STRM_WAYPOINT_MORTON,"MORTON",morton
STRM_MARKER_WEST,"Anton",Anton
STRM_MARKER_EAST,"Boris",Boris
