LANGUAGE,English,Comment

STRM_ONLOAD_MISSION,"At dawn, south-east of Lamentin",On load mission
STRM_ONLOAD_INTRO,"Later that day back in Morton",On load intro

STRM_04v01,"Comrade Rashiv, an order came to lend someone from squad Anton to special forces for one action.\nThese spetsnaz arrived yesterday and were tasked to seize Lamentin.",Dostoevsky
STRM_04v02,"I chose you. You might be wondering why since you don't talk much - well, that's precisely the point.\nYou are a skilled soldier, collected and focused.\nExactly what is required.",Dostoevsky
STRM_04v03,"You don't have to say anything, or thank me. Not that you would.\nThis assignment won't be easy, the spetsnaz are a tough bunch - but I believe you could be an asset to them.",Dostoevsky
STRM_04v04a,"The man you'll be under is comrade major Grigory Lemontov. You might have heard of him.\nHe is an ace even among spetsnaz, so pay due respect.",Dostoevsky
STRM_04v04b,"You are expected in a few hours so better get ready.",Dostoevsky
STRM_04v05,"Dismissed.",Dostoevsky
STRM_04v06,"So, you are Rashiv, I have been expecting you.\nMy name is Grigory Lemontov and right now we have a lot of work to do.",Lemontov
STRM_04v07,"We are going in as a vanguard to pave the way to Lamentin. You will stay close to me and provide support for our team.",Lemontov
STRM_04v08,"I'll give you the details on the way. And now: forward!",Lemontov

STRM_04v09,"Finally, comrade major. We were getting bored.",kaplinsky
STRM_04v10,"We haven't encountered any patrols. Your work?",lemontov
STRM_04v11,"You're working with the best, comrade major.",kaplinsky
STRM_04v12,"I noticed, Kaplinsky. Get in formation, we're going to the harbour.",lemontov

STRM_04r01,"STAY CLOSE TO ME, RASHIV. THE REST OF THE SQUAD SHOULD BE JUST AHEAD.",LEMONTOV
STRM_04r02,"HIT THE DIRT.",LEMONTOV
STRM_04r03,"DMITRY TO IVAN, WE'RE IN POSITION. LET'S GET TO WORK. OVER.",LEMONTOV
STRM_04r04,"IVAN TO DMITRY, WE'RE HEADING OUT. THEY WON'T KNOW WHAT HIT THEM. OUT.",IVAN
STRM_04r05,"WAIT FOR THEM TO GET CLOSER. FIND YOUR TARGETS. FIRE AT MY COMMAND.",LEMONTOV
STRM_04r06,"GO, GO, GO!",LEMONTOV
STRM_04r07,"THE HARBOUR'S OURS. IVAN WILL KEEP GUARD. WE TAKE CONTROL OF THE ROADS. FOLLOW ME.",LEMONTOV
STRM_04r08,"DMITRY TO YELENA, GO IN. WE'LL SEE YOU AT THE OUTPOST. OVER.",LEMONTOV
STRM_04r09,"YELENA UNDERSTOOD. SEE YOU THERE. OUT.",YELENA
STRM_04r10,"SMOOTH AND CLEAN. CONTINUE ONWARDS TO THE OUTPOST. GO!",LEMONTOV
STRM_04r11,"YELENA TO DMITRY, WE'RE THROUGH AND MOVING TOWARDS THE OUTPOST. OUT.",YELENA
STRM_04r12,"WE'RE DONE HERE. KAPLINSKY, TAKE THE SQUAD TO THE SOUTHERN FLANK AND GET READY TO ATTACK. YELENA, YOU'VE GOT THE NORTHERN FLANK. I'M GOING WITH RASHIV TO THE LOOKOUT.",LEMONTOV
STRM_04r13,"WE'RE IN POSITION. RASHIV, STAY BACK AND DO NOT WANDER OFF. YOU MUST COVER MY BACK.",LEMONTOV
STRM_04r14,"DMITRY TO ALL UNITS, WE'RE READY TO START. SLOWLY BUT STEADILY. GO!",LEMONTOV
STRM_04r15,"YELENA TO DMITRY, FEW UNITS SLIPPED BY US AND ARE MOVING TO YOUR REAR. WATCH OUT.",YELENA
STRM_04r16,"RASHIV, YOU TAKE CARE OF IT.",LEMONTOV
STRM_04r17,"TIME TO TAKE THE CITY. FOLLOW ME, RASHIV. ALL UNITS, GO IN.",LEMONTOV
STRM_04r18,"LAMENTIN'S OURS. GOOD WORK, EVERYONE. THE OPERATION IS ENDED.",LEMONTOV

STRM_MARKER_HARBOUR,"Harbour",harbour
STRM_MARKER_CHECKPOINT,"Checkpoint",checkpoint
STRM_MARKER_OUTLOOK,"City lookout",lookout
STRM_MARKER_OUTPOST,"Outpost",outpost
STRM_MARKER_YELENA,"Yelena",yelena
STRM_MARKER_IVAN,"Ivan",ivan
