LANGUAGE,English,Comment

STRM_ONLOAD_INTRO,"In the morning, Lamentin",On load intro
STRM_ONLOAD_MISSION,"In the UAZ",On load mission

STRM_05v01,"Well done, Rashiv. Comrade major Lemontov had only good things to say about you.\nYou're making our squad proud, comrade!",dostoevsky
STRM_05v02,"I knew you had it in you. Now, get in the UAZ, we need to get to Le Moule.",dostoevsky

STRM_05v03,"It's not every day one receives a request from spetsnaz. And it's not every day that we fulfil that request and get a commendation.\nAnd from comrade Lemontov himself!",dostoevsky
STRM_05v04,"If that man says you've got potential, then you can be sure as hell you have great potential.\nIt runs in your family, eh Rashiv?",dosteovsky
STRM_05v05,"Still not much of a talker, I see. But that is good. Talking too much is not desirable.",dostovesky
STRM_05v06,"Your mission was a greater success than you might realize - capturing Lamentin gave us Le Moule without a fight and opened up a way to Montignac.",dostoevsky
STRM_05v07,"There will be an offensive soon, Rashiv, one final push to drive the enemy out of here.",dostoevsky
STRM_05v08,"What happens after the restoration of Everon I do not know.\nThere are many possibilities for the next steps and they are not for us to decide.",dostoevsky
STRM_05v09,"You're smart even if you do not show it. You know what happened here before.\nYou might be wondering whether we're slowly descending towards the same fate.",dostoevsky
STRM_05v10,"I experienced it firsthand and I tell you - have no fear.\nPut your faith in Mother Russia and our command. They shall lead us to final victory.",dostoevsky
STRM_05v11,"Hah, I say do not talk much and look at me. But we're finally here.",dostoevsky

STRM_05v12,"You call this a camp? My grandmother would have done better! Take it down and start anew!",dostoevsky

STRM_05r01,"BAZA TO ANTON, WE LOST CONTACT WITH PATROL BORIS. THEIR LAST KNOWN POSITION IS AROUND THE FORESTS AT DA47. TRANSPORT WILL PICK YOU UP. TAKE A LOOK AROUND AND SEE IF YOU CAN FIND THEM. HOPEFULLY IT'S JUST A MALFUNCTIONING RADIO. OVER.",baza
STRM_05r02,"ANTON TO BAZA, UNDERSTOOD, WE ARE ON OUR WAY. OUT.",dostoevsky

STRM_05r03,"THERE'S THEIR TRUCK OVER THERE. IT'S BURNING. YOU SHOULD HEAD OUT FROM HERE.",car
STRM_05r04,"SPREAD OUT! LOOK FOR SURVIVORS!",dostoevsky
STRM_05r05,"ANTON TO BAZA, WE'RE ENGAGING THE ENEMY AT THE LAST KNOWN LOCATION OF PATROL BORIS. OUT.",dostoevsky
STRM_05r06,"THE TRAIL LEADS FURTHER UP THE ROAD. WE ARE GOING TO FOLLOW IT.",dostoevsky
STRM_05r07,"ANOTHER FIRE IN THE DISTANCE! WE SHOULD INVESTIGATE.",dostoevsky
STRM_05r08,"ANTON TO BORIS, WE SEE YOU! HOLD ON!",dostoevsky
STRM_05r09,"HEADS UP, MEN, REINFORCEMENTS ARE HERE!",boris
STRM_05r10,"THANKS FOR YOUR HELP, THAT WAS CLOSE, ANTON. WE WOULD LIKE TO GET OUT OF HERE NOW IF YOU DO NOT MIND!",boris
STRM_05r11,"SHIT, WE'VE COME TOO LATE. WE HAVE TO GET OUT OF HERE!",dostoevsky
STRM_05r12,"GET THE TRANSPORT HERE, BEFORE MORE ENEMIES ARRIVE.",dostoevsky
STRM_05r13,"BAZA TO ANTON, CLEAN WORK, GUYS. WELL DONE. BAZA OUT.",baza
STRM_05r14,"BAZA TO ANTON, IT IS UNFORTUNATE ABOUT BORIS. RETURN TO THE BASE FOR DEBRIEFING. BAZA OUT.",baza


STRM_MARKER_FOREST,"Forest",MARKER
STRM_MARKER_LEMOULE,"Squad",MARKER

STRM_WAYPOINT_FOREST,"FOREST",WAYPOINT
STRM_WAYPOINT_LEMOULE,"LE MOULE",WAYPOINT
