LANGUAGE,English,Czech,Comment

STRM_ONLOAD_MISSION,"","",On load mission
STRM_ONLOAD_INTRO,"In the hills","",On load intro

STRM_09v01,"That wasn't bad. For a Russian.","",Calvet
STRM_09v02,"Hey, thanks. Like I said I am glad to help but I am in ned of getting back to Kolguyev, to my army.","",Rashiv
STRM_09v03,"I hear you, man, I truly do, but that's not something I can grant you. You would have to discuss that with our leader.","",Calvet
STRM_09v04,"Where's Jean then?","",Rashiv
STRM_09v05,"Nah, that's not our leader. He's actually second in command. Our movement is led by...","",Calvet
STRM_09v06,"You've done well enough, Russian, you can come with us to the north for now.","",Poincare
STRM_09v07,"I'd rather head in the direction of Kolguyev, Jean.","",Rashiv
STRM_09v08,"That's not possible at the moment. The enemy patrols the sea and coast looking for any Soveit units left behind.\nYou should wait for a few days before attempting to slip by.","",Poincare
STRM_09v09,"Our commander will have some ideas, but he's in the south and that's not our direction. It's too hot down there.\nBut I tell you if you help us we will help you.","",Poincare
STRM_09v10,"But I did already help you, didn't I?","",Rashiv
STRM_09v11,"No, you merely earned your place among us. You have yet to earn our help. Stick to Pierre, I'll see you later.","",Poincare+
