LANGUAGE,English,Czech,Comment

STRM_ONLOAD_MISSION,"At night, hidden in forest","","On load mission
STRM_ONLOAD_INTRO,"Behind enemy lines","","On load intro

STRM_19v01,"Check your equipment. We're gonna have to be fast. The whole base is crawling with infantry and the hills are full of patrols.","",lemontov
STRM_19v02,"We've got the charges, comrade major.","",spets
STRM_19v03,"Let's go then. Use the cover of the night to get as close to the base as possible. I'll call you after midnight to go in.\nPlant the charges then wait for my signal to blow it up. I want the fireworks to be seen back in Washington.","",lemontov

STRM_19r01,"ONE TO TWO AND THREE, LET'S GET THIS PARTY STARTED. APPROACH THE BASE AND DO YOUR PART. I'LL HANDLE THE REST. LET ME KNOW WHEN YOU'RE READY TO LIGHT THE BASE, OUT.","",lemontov
STRM_19r02,"ONE DOWN, TWO TO GO.","",lemontov
STRM_19r03,"TWO DOWN, ONE TO GO.","",lemontov
STRM_19r04,"PATROLS NEUTRALIZED. GOOD WORK, GRIGORY.","",lemontov
STRM_19r05,"WHATEVER THEY STORED THERE HAS BLOWN UP SKY HIGH. OBJECTIVE COMPLETED.","",lemontov
STRM_19r06,"TWO TO ONE, CHARGES ARE SET. I FOUND ONLY LIGHT TANKS THOUGH. READY WHEN YOU ARE.","",two
STRM_19r07,"THREE TO ONE, I PLANTED THE CHARGES. ONLY APCS, COULDN'T FIND THE HEAVY ARMOUR. READY TO BLOW IT UP.","",three
STRM_19r08,"ONE UNDERSTOOD. WAIT FOR MY SIGNAL.","",lemontov
STRM_19r09,"IT SEEMS THEY MOVED THE HEAVY TANKS OUT OF THE BASE. SHIT. WE'RE GONNA HAVE TO DEAL WITH THEM LATER. GET READY TO LIGHT THE BASE ON MY SIGNAL.","",lemontov
STRM_19r10,"TIME FOR THE FIREWORKS. BLOW IT UP!","",lemontov
STRM_19r11,"GOOD WORK, GUYS. THOSE TANKS ARE OUT OF COMMISSION FOREVER. I'LL SEE YOU BACK AT THE BASE.","",lemontov

STRM_MARKER_TWO,"Two","",two
STRM_MARKER_THREE,"Three","",three
STRM_MARKER_PATROL,"Patrol","",patrol
STRM_MARKER_AMMUNITION,"Ammunition Depot","",ammunition
STRM_MARKER_END,"Exit Point","",exit

STRM_RADIO_TEXT,"Touch Off the Bombs","",radio
STRM_RADIO_HINT,"0-0 - Radio menu\n1 - send code Anton","",radio hint

STRM_WAYPOINT_BASE,"BLOW TANKS IN BASE","",lemontov
STRM_WAYPOINT_ESCAPE,"EXIT THE AREA","",lemontov
