LANGUAGE,English,Comment

STRM_ONLOAD_MISSION,"Road to Malsk",On load mission
STRM_ONLOAD_INTRO,"Early morning",On load intro

STRM_20v01,"Your training report did not lie. You possess some serious skill and talent, comrade Kukushkin.\nAnd I don't say that just to everybody.",Frolov
STRM_20v02,"Your words are kind, comrade Frolov. I'm just doing my best.",Kukushkin
STRM_20v03,"Continue on this path and you might get far. You do seem ambitious and craving of higher status and recognition.",Frolov
STRM_20v04,"Comrade Frolov, I've been nothing my whole life. For once, I feel like I do belong somewhere and that I am useful.",Kukushkin
STRM_20v05,"That is good, but don't get ambition get into your head. Always stay with both legs firmly on the ground.",Frolov
STRM_20v06,"Leading a tank platoon is a team effort.\nEven exceptional leaders have to be surrounded by good people, otherwise they're just average.",Frolov
STRM_20v07,"Keep that in mind and you'll do marvellously.",Frolov
STRM_20v08,"Thank you, comrade Frolov, I'll remember that.",Kukushkin
STRM_20v09,"That's the signal. Everyone, to your positions!",Frolov

STRM_20r01,"YURY TO ALL UNITS. WE'RE CLOSING IN ON MALSK. TO ALL UNITS, ATTACK! OUT.",YURY
STRM_20r02,"BAZA TO ALL UNITS, GOOD WORK, ENEMY DEFENCES ARE BROKEN. THE INFANTRY SHOULD CLEAR THE BASE FROM STRAGGLERS AND THE TANKS SHOULD PREPARE TO HOLD IT. THE ENEMY COUNTERATTACK IS COMING. BAZA OUT.",baza
STRM_20r03,"YELENA TO YURY, WE ARE COMING TO SUPPORT YOU. OUT.",yelena
STRM_20r04,"DMITRY TO YURY, WE'RE GOING TO MINE THE ROAD AND KEEP AN EYE ON THE TANKS. WE'LL LET YOU KNOW WHEN THEY'RE COMING.",lemontov
STRM_20r05,"DMITRY TO YURY, THE ATTACK IS HERE AND IT'S BAD. A FEW LIGHT TANKS IN THE BACK BUT THE CHARGE IS LED BY A HEAVY TANK PLATOON. HOPEFULLY THE MINES WILL DO THEIR WORK. GET READY, YURY!",lemontov
STRM_20r06,"BAZA TO ALL UNITS. GOOD WORK. THE ENEMY IS RETREATING. WE HAVE WON A GREAT VICTORY TODAY, COMRADES! BAZA OUT.",baza

STRM_MARKER_YELENA,"Yelena",marker
STRM_MARKER_DMITRI,"Dmitry",marker
STRM_MARKER_COUNTERATTACK,"Enemy counterattack",marker
STRM_MARKER_INFANTRY,"Infantry",marker
STRM_MARKER_HOLD,"Hold",marker
STRM_MARKER_MINES,"Mines",marker
