LANGUAGE,English,Czech,Comment

STRM_ONLOAD_MISSION,"Operation is beginning","","On load mission
STRM_ONLOAD_INTRO,"Two days later in the morning","","On load mission

STRM_25v01,"This will be hard fought battle, Sergei.","",yashin
STRM_25v02,"Indeed. Fortifications, entrenched positions, tanks, machine gun nests, AA guns and minefields. A hard nut to crack indeed.","",rashiv
STRM_25v03,"It seems infantry will have to do most of the work. How do you wish to proceed?","",yashin
STRM_25v04,"We'll get rid of the mines to let our armour get close to the base.\nThen it's about getting rid of the AA so that our helicopters can swoop in and wreak havoc. We clear up the rest.","",rashiv
STRM_25v05,"Break them piece by piece, I like your thinking.","",yashin
STRM_25v06,"It will be bloody and difficult, but we do not have much choice given what we've been given.\nLet's go and gear up. This will be a long day.","",rashiv

STRM_25r01,"ALRIGHT EVERYONE. GET READY. WE'RE SPLITTING HERE, I'M TAKING THE ENGINEERS TO TAKE CARE OF THE MINES, OTHERS ASSUME POSITIONS AND WAIT FOR MY SIGNAL TO ADVANCE. OUT.","",Rashiv
STRM_25r02,"WE FOLLOW, COMRADE COMMANDER. GET US CLOSE TO THE MINES AND WE'LL DEACTIVATE THEM. OUT.","",Rashiv
STRM_25r03,"LEONID TO ATTACK GROUPS, ADVANCE ON THE FIRST MINE FIELD. OUT.","",Rashiv

STRM_25r04,"LEONID TO ATTACK GROUPS, AREA SEEMS CLEAR. COVER US WHILE WE DEACTIVATE THE MINES. OUT.","",Rashiv
STRM_25r05,"LEONID TO ATTACK GROUPS, WE'RE DONE WITH THE MINES. ADVANCE TO THE NEXT ONE, OUT.","",Rashiv

STRM_25r06,"LEONID TO ATTACK GROUPS, ADVANCE ON THE SECOND MINE FIELD. WE'RE CLOSER TO THE ENEMY FORTIFICATIONS, BE WATCHFUL OF REINFORCEMENTS. OUT.","",Rashiv
STRM_25r07,"LEONID TO ATTACK GROUPS, WE'RE STARTING TO DEAL WITH THE MINES. COVER US. OUT.","",Rashiv
STRM_25r08,"LEONID TO ATTACK GROUPS, THE MINEFIELDS WERE NEUTRALIZED. TIME TO MOVE ON TO THE MAIN BASE.","",Rashiv

STRM_25r09,"LEONID TO YURI, EVERYTHING'S CLEAR HERE. ADVANCE AND GET READY TO ATTACK THE BASE. OVER.","",Rashiv
STRM_25r10,"YURI TO LEONID, WE'RE MOVING FORWARD. WE SHALL STRIKE ON YOUR SIGNAL. OVER.","",Yuri
STRM_25r11,"ULYANA TO LEONID, OUR CHOPPERS ARE READY. CALL US IN WHEN YOU'VE DEALT WITH THE AA, WE'LL SUPPORT YOU FROM THE SKIES. OUT.","",Rashiv
STRM_25r12,"GOOD JOB ENGINEERS, YOUR WORK HERE IS DONE. SQUAD LEONID, TO ME!","",Rashiv
STRM_25r13,"WE'VE MISSSED YOU, COMRADE COMMANDER RASHIV! WE ARE AT YOUR COMMAND!","",Yashin

STRM_25r14,"LEONID TO ALL ATTACK GROUPS, I COMMENCE THE ATTACK! ADVANCE CAREFULLY! WE'LL HAVE TO BREAK THE FORTIFICATIONS FIRST! OUT.","",Rashiv
STRM_25r15,"LEONID TO ULYANA, WE NEED YOUR SUPPORT! STRIKE THE ENEMY POSITIONS BUT WATCH OUT, FRIENDLIES TO THE NORTH! OVER.","",Rashiv
STRM_25r16,"AFFIRMATIVE LEONID. SEE YOU IN A BIT. OUT.","",Ulyana

strm_25r17,"LEONID TO ATTACK GROUPS, WE'VE TAKEN THE FORTIFICATIONS. ADVANCE SLOWLY TO THE BASE AND WATCH OUT FOR ENEMY RESERVES. OUT.","",Rashiv

STRM_25r18,"BAZA TO LEONID, YOU ARE IN CHARGE OF THE OPERATION. WE'LL MONITOR EVERYTHING FROM HERE AND GIVE YOU HEADS UP WHEN NECESSARY. OTHERWISE THIS IS IN YOUR HANDS. GOOD LUCK, COMRADE! BAZA OUT.","",BAZA
STRM_25r19,"BAZA TO LEONID, THE ENEMY RESERVES HAVE ARRIVED. BE CAREFUL WHEN ENTERING THE BASE. BAZA OUT.","",BAZA
STRM_25r20,"BAZA TO LEONID, ENEMY AA GUN HAS BEEN SPOTTED AT FI62. BAZA OUT.","",BAZA
STRM_25r21,"BAZA TO LEONID, ENEMY AA GUN HAS BEEN SPOTTED AT FH62. BAZA OUT.","",BAZA
STRM_25r22,"BAZA TO LEONID, ENEMY AA GUN HAS BEEN SPOTTED AT FI60. BAZA OUT.","",BAZA
STRM_25r23,"BAZA TO LEONID, WE'VE GOT CONFIRMED ONE OF THE AA GUNS HAS BEEN DESTROYED. GOOD WORK. BAZA OUT.","",BAZA
