LANGUAGE,English,Comment

STRM_ONLOAD_MISSION,"Airport",On load mission
STRM_ONLOAD_INTRO,"Later that day",On load intro

STRM_35v01,"Your patience paid off, comrades. It is time for you to finally get in the best gunship the Red Army has to offer.",Syomin
STRM_35v02,"Behold the beauty of Kamov V-80!",Syomin
STRM_35v03,"Yes! Finally!",Koltsov
STRM_35v04,"We did it!",Ablomov
STRM_35v05,"Are we going on a mission, comrade Syomin? Preferably right now?",Koltsov
STRM_35v06,"Of course. It seems there might be a naval engagement off the coast of Kolguyev and we need to help.",Syomin
STRM_35v07,"Unfortunately, one of you has to stay here in reserve in case anything goes down on the island.\nWe are the only combat ready squadron in the area at the moment. Choose between yourselves.",Syomin
STRM_35v08,"Hm... Ippolit, I think it should be...",Ablomov
STRM_35v09,"Ippolit?!",Ablomov
STRM_35v10,"Sorry, man, I need to fly this thing right now or I lose it completely! The next vodka is on me, I promise!",Koltsov

STRM_35v11,"It might take hours before they come back. I should do something more useful than just standing around.",Ablomov
STRM_35v12,"I should check on the helicopter, make sure everything is in order.\nI would not mind a second look at that machine anyway.",Ablomov
STRM_35v13,"I also need to give my letter to the postmaster. And ask him about the lack of letters recently.",Ablomov

STRM_35v14,"I have a letter to send. Here.",Ablomov
STRM_35v15,"Another letter to Mother Russia, it shall be sent. Anything else?",postmaster
STRM_35v16,"Actually, yes. Have any new letters arrived recently?",Ablomov
STRM_35v17,"Some, not so many lately though. Nothing for you, comrade Ablomov, sorry.",postmaster
STRM_35v18,"I am expecting an important letter. You are certain not one came in?",ablomov
STRM_35v19,"Yes, I am, I have nothing for you. I mean, you've been getting letters from the same address for a few months now.\nWhat could possibly be so important in this umpteenth one?",postmaster
STRM_35v20,"Have you ever fallen in love?",Ablomov
STRM_35v21,"Hmph, no.",postmaster
STRM_35v22,"Then you wouldn't understand. I'll come by later.",Ablomov
STRM_35v23,"Be my guest.",postmaster

STRM_35v24,"Properly oiled.. the engines are clean... All ammunition is in place...",Ablomov
STRM_35v25,"Is the fuel tank only half full? It should have been tanked up this morning.",Ablomov
STRM_35v26,"Someone from logistics slacked again...",Ablomov

STRM_35v27,"My helicopter's fuel tank is only half full. There must have been a mistake.",Ablomov
STRM_35v28,"Hm? Oh, right, we did have some trouble with the cistern. It's possible some of the vehicles might be lower on fuel.",logistics
STRM_35v29,"Sounds like a problem to me.",Ablomov
STRM_35v30,"Well, you're the first one to complain since morning.",logistics
STRM_35v31,"I need it full in case of a long range flight.",Ablomov
