LANGUAGE,English,Comment

STRM_ONLOAD_MISSION,"Aboard a helicopter, above the sea",On load mission
STRM_ONLOAD_INTRO,"Southern Malden",On load intro

STRM_41v01,"Malden up ahead! Two minutes till the drop!",Chopper
STRM_41v02,"One minute till the drop!",Chopper
STRM_41v03,"Thirty seconds! Get ready!",Chopper
STRM_41v04,"Entering the drop zone in ten seconds, Leonid! You have green light!",Chopper

STRM_41v05,"Sergey, are you awake? Sergey?!",Yashin
STRM_41v06,"Of course, Igor. I was just lost in thought.",Rashiv
STRM_41v07,"We are close to the island, friend. We are close to ending it all.",Yashin

STRM_41v08,"Leonid squad, heads up! We are entering undisputed enemy territory for the first time! The island of Malden is the enemy base of operations!\nIt is their last possesion in the area and they are going to put up a tough fight defending it!",Rashiv
STRM_41v09,"We are paradropping behind enemy lines! While our comrades in boats are going to be storming the beaches, we are to disrupt the enemy rear and hold out until we are reinforced!",Rashiv
STRM_41v10,"It is not going to be easy, but we've been through worse before! I count on each and every one of you to continue doing what you do best! Let Leonid carry the day once more!",Rashiv
STRM_41v11,"Check your equipment and fear not! I'll see you on the ground!",Rashiv

STRM_41v12,"Get ready, comrades! On my mark!",Rashiv
STRM_41v13,"Go, go, go! This is it, comrades! Keep going, go, go!",Rashiv

STRM_41r05,"GOOD LUCK, LEONID, WE'RE RETURNING TO THE BASE.",Chopper
STRM_41r06,"BAZA TO LEONID, MAKE HASTE AND PICK UP THAT CRASHED PILOT. THE ENEMY IS ON HIS WAY TO HIM. BAZA OUT.",BAZA
STRM_41r07,"BORIS TO LEONID, WE'RE PARADROPPING IN THE WEST DROP ZONE. THE ROAD IS FULL OF ENEMY TRUCKS, THEY'RE MOVING IN REINFORCEMENTS ALREADY!",BORIS
STRM_41r08,"UNDERSTOOD, BORIS. TAKE IT SLOWLY, WE STILL NEED TO GET TO THAT PILOT. TRY TO GET CLOSE TO THE TOWN, BUT DON'T ATTACK YET. WE'LL KEEP IN TOUCH. OVER.",RASHIV
STRM_41r09,"GOT IT, LEONID. GOOD LUCK. OUT.",BORIS
STRM_41r10,"ON ME, LEONID!",RASHIV
STRM_41r11,"BAZA TO ALL UNITS, LANDING FORCES ARE CLOSING IN ON MALDEN, THEY ARE GOING TO ATTACK IN TEN MINUTES. BAZA OUT.",BAZA
STRM_41r12,"LEONID GREEN TO LEONID, ALL QUIET OVER HERE. WE'RE MOVIGN TOWARDS THE MAIN ROAD. OVER.",LEONID GREEN
STRM_41r13,"LEONID RED TO LEONID, ENEMY PATROLS ARE ADVANCING FROM THE SOUTHERN ROAD. ENGAGING. OVER.",LEONID RED
STRM_41r14,"LEONID BLACK TO LEONID, WE'RE RIGHT BESIDE YOU COVERING YOUR LEFT FLANK. OVER.",LEONID BLACK
STRM_41r15,"LEONID TO OTHERS, AFFIRMITIVE. ENEMY UNITS ARE COMING FROM CHAPOI, BEWARE! WE'RE GOING FOR THE PILOT, OUT.",RASHIV

STRM_41r16,"LEONID TO BAZA, WE SEE THE CRASHED PLANE IN THE DISTANCE. WE'RE MOVING OVER. OUT.",RASHIV
STRM_41r17,"THE PLANE'S A TOAST. NO SIGN OF SURVIVORS.",SOMEBODY
STRM_41r18,"COMRADE RASHIV, A RED SMOKE IN THAT TREELINE ON THE LEFT!",SOMEBODY
STRM_41r19,"THAT MUST BE THE PILOT, HURRY!",RASHIV



STRM_MARKER_CRASH_SITE,"Crashed Plane",Marker
STRM_MARKER_DROP_ZONE_WEST,"Drop Zone West",Marker
STRM_MARKER_DROP_ZONE_EAST,"Drop Zone East",Marker
STRM_MARKER_ANTON,"Anton",Marker
STRM_MARKER_ANTON_RED,"Anton Red",Marker
STRM_MARKER_ANTON_GREEN,"Anton Green",Marker
STRM_MARKER_ANTON_BLACK,"Anton Black",Marker
STRM_MARKER_LEONID,"Leonid",Marker
STRM_MARKER_LEONID_RED,"Leonid Red",Marker
STRM_MARKER_LEONID_GREEN,"Leonid Green",Marker
STRM_MARKER_LEONID_BLACK,"Leonid Black",Marker

STRM_WAYPOINT_DROP_ZONE,"PARADROP ONTO THE ISLAND OF MALDEN",WAYPOINT
STRM_WAYPOINT_CRASH_SITE,"INVESTIGATE CRASH SITE",WAYPOINT
STRM_WAYPOINT_CHAPOI,"SEIZE THE TOWN OF CHAPOI",WAYPOINT
STRM_WAYPOINT_PILOT,"RESCUE THE PILOT",WAYPOINT
