LANGUAGE,English,Czech,Comment



STRM_x01v01,"They told me you were tenacious like a hound, but I must say I underestimated you, Gaston.","",Daladier
STRM_x01v02,"You won then. You have me. But listem to me before you do something rash.","",Daladier
STRM_x01v03,"We both want the very same thing - free Everon. We just have different ways of achieving that.\nWithout the help of the West, the East will come and enslave us. We can't let that happen.","",Daladier
STRM_x01v04,"You know they're coming. You survived their first onslaught. Should have I entrusted the island's defence to your hands?\nMaybe. Would have we survived? I doubt it. We need the American protection to keep our people awway from the Soviet yoke.","",Daladier
STRM_x01v05,"I mmight have gone about things rapidly and perhaps harshly. But we had to act fast before another war is upon us and this time we would not survive it.\nEven the last time was a miracle. And I do not wish to see Everon turned into another battlefield.","",Daladier
STRM_x01v06,"What say you?","",Daladier
STRM_x01v07,"I say I have no words for traitors. Goodbye, Daladier.","",Astier

STRM_x01v08,"Everon belongs to its people and only to them. I am sending an ultimatum to the American forces -\neither they leave Everon this instant or we send them all home in bags.","",Astier
STRM_x01v09,"Everon and its people deserve freedom but must fight for it.\nWe cannot depend on treaties form the past as they hold little value and are broken easily.","",Astier
STRM_x01v10,"We can only depend on ourselves. We cannot be granted freedom for we must fight for it and earn it.","",
STRM_x01v11,"I vow to not rest until every occupant who claims Everon has been sent home be it an American or a Soviet. Until we are free once more we shall fight on.","",Astier

STRM_x01v07,"Comrades! As you might already heard, we are going to war!","",dostoevsky
STRM_x01v08,"US Military once again invaded the island of Everon. Locals rose up in arms and the island is in the middle of a civil war.\nAs the nearest units of the Soviet Army we are tasked with invading Everon and restoring the local government back to power.","",dostoevsky
STRM_x01v09,"But comrade Dostoevsky, a direct assault on American troops can have serious international consequences.\nNot to mention we are not many, shouldn't we wait for reinforcements?\nI read about seven years ago...","",morokov
STRM_x01v10,"I appreciate your concerns, comrade Morokov, but they are wrong.\nWe were asked for help by the rebel forces and thus have to answer their call to arms.\nThe Soviet Army will not let good people die at the hands of capitalist dogs while we are able to do something about it.","",dostoevsky
STRM_x01v11,"Command already made the decision.\nThe attack is starting in an hour. The choppers are waiting to take us to the island.\nAll information is in briefings. Get ready comrades. For Rodina!","",dostoevsky

STRM_CHAPTER_TEXT,"Chapter I\n\nF L A S H P O I N T","",Chapter info
