LANGUAGE,English,Comment

STRM_ONLOAD_INTRO,"",On load intro
STRM_ONLOAD_MISSION,"Kolguyev, 1979",On load mission

-- Intro

STRM_f03v01,"Comrade Lemontov, comrade Livanokh arrived during the night. He wishes for you to come see him immediately.",Messanger
STRM_f03v02,"I thought I made it clear I wanted to be informed of comrade Livanokh's arrival the moment he arrived.",Lemontov
STRM_f03v03,"Comrade Livanokh specifically asked me not to wake you up. I was supposed to wait for you here.",Messanger
STRM_f03v04,"He also went to sleep, comrade, he was tired after the journey.",Messanger
STRM_f03v05,"Fair enough. Get some rest, comrade, I can get to the villa myself.",Lemontov
STRM_f03v06,"Thank you, comrade Lemontov! Feel free to take my car!",Messanger

STRM_f03v07,"Comrade Lemontov, welcome!",Checkpoint guard
STRM_f03v08,"Where is comrade Kuznetsov?",Lemontov
STRM_f03v09,"At the base, comrade, handling the supplies.",Checkpoint guard
STRM_f03v10,"Good. At ease, comrades, and carry on.",Lemontov

-- Kuznetsov
STRM_f03v11,"Be careful with the heavy crates and leave the barrels for the next truck, we're already late as it is!",Kuznetsov
STRM_f03v12,"Comrade Kuznetsov, report!",Lemontov
STRM_f03v13,"Comrade Lemontov, we've been hauling since the very first light! Most of the crates are on the ships, we're mostly missing oil.",Kuznetsov
STRM_f03v14,"And what's all this?",Lemontov
STRM_f03v15,"Food, camp equipment, tools and other small goods. Most of the weapons and ammunition are already loaded.",Kuznetsov
STRM_f03v16,"Oil is always a problem. Where is the last shipment?",Lemontov
STRM_f03v17,"It should have arrived in the northern ports, but so far I have not received confirmation. I will go check it out myself.",Kuznetsov
STRM_f03v18,"How long is the current cargo going to last?",Lemontov
STRM_f03v19,"Four days easily, six days at maximum.",Kuznetsov
STRM_f03v20,"That should be enough for our first campaign. Make sure it's ready by evening.",Lemontov
STRM_f03v21,"Today? So we are going in?",Kuznetsov
STRM_f03v22,"We are not sure, but i's possible. Comrade Livanokh arrived and he very well might give the signal. You haven't heard?",Lemontov
STRM_f03v23,"No, comrade, we were too busy to notice.",Kuznetsov
STRM_f03v24,"Alright, do your part and make sure all the essentials are ready.",Lemontov
STRM_f03v25,"I will not disappoint you, comrade Lemontov!",Kuznetsov
STRM_f03v26,"As long as it's in your capable hands I do not worry.",Lemontov
-- Hasn't seen Rashiv
STRM_f03v27,"Tell me, has Rashiv returned?",Lemontov
STRM_f03v28,"Yes, comrade, already yesterday. He should be on the coast overlooking the loading process.",Kuznetsov
STRM_f03v29,"I might pay him a visit.",Lemontov
--
STRM_f03v30,"Carry on, comrade Kuzentsov.",Lemontov
STRM_f03v31,"At your orders, comrade Lemontov!",Kuznetsov


-- Dostoevsky
STRM_f03v32,"Comrade Lemontov, nice of you to visit!",Dostoevsky
STRM_f03v33,"Comrade Dostoevsky, I'm looking for comrade Rashiv.",Lemontov
STRM_f03v34,"He's over there, keeping an eye on the port.",Dostoevsky
STRM_f03v35,"I've heard rumours. Are we going in, comrade Lemontov?",Dostoevsky
STRM_f03v36,"That is to be determined. Make sure your men are ready though.",Lemontov
STRM_f03v37,"We have been waiting for this moment for months, comrade, our troops are ready and eager!",Dostoevsky
STRM_f03v38,"Good to hear, comrade Dostoevsky. I'm going to talk to comrade Rashiv, carry on.",Lemontov
STRM_f03v39,"Towards victory, comrade Lemontov!",Dostoevsky

-- Rashiv
STRM_f03v40,"Good morning Grigory, it's good to see you.",Rashiv
STRM_f03v41,"Hello, Vadim, likewise. Is everything in order?",Lemontov
STRM_f03v42,"The supplies are getting loaded and the troops are getting ready. Few hurdles here and there but nothing unexpected.",Rashiv
STRM_f03v43,"Have you been summoned?",Rashiv
STRM_f03v44,"Yes.",Lemontov
STRM_f03v45,"So this is it. We are about to start the war.",Rashiv
STRM_f03v46,"Highly likely, yes. Probably this very night.",Lemontov
STRM_f03v47,"Then hopefully your plan is going to work. We don't have enough supplies to last a week. It will need to be quick and smooth.",Rashiv
STRM_f03v48,"It will be, we hold all the advanteges. Is there anything essential that you are missing?",Lemontov
STRM_f03v49,"Mostly oil for the trucks. Kuznetsov is supposed to take care of that.",Rashiv
-- Seen Kuznetsov
STRM_f03v50,"He's handling it. What about the troops?",Lemontov
-- Hasn't seen Kuznetsov
STRM_f03v51,"I'll check with him. What about the troops?",Lemontov
--
STRM_f03v52,"The morale is high and the equipment in place. We are fully supplied and combat-ready, even if for only a week.",Rashiv
STRM_f03v53,"As long as we have surprise on our side, we cannot lose on Everon.",Rashiv
STRM_f03v54,"It's not Everon I am worried about.",Lemontov
STRM_f03v55,"Yes, Malden will be a worthy battle indeed. Still, the current situation favours us. It all depends how fast can the Americans mobilize their reserves and if we get more supplies in.",Comment
STRM_f03v56,"After Everon, the mainland will support our incursion and we'll get everything we need.",Lemontov
STRM_f03v57,"But that's all for the future. I'm going over to the villa, I'll see you at the commanders' meeting.",Lemontov
STRM_f03v58,"You won't even ask?",Rashiv
STRM_f03v59,"Alright, how was the mainland?",Lemontov
STRM_f03v60,"Excellent, thank you for asking. Sergey grew a lot - I hardly recognized him. It's been wonderful two weeks, just him and me.",Rashiv
STRM_f03v61,"You know, if not for the children and our families - what would we even be fighting for? They are the only thing that matters in the end.",Rashiv
STRM_f03v62,"Certainly.",Lemontov
STRM_f03v63,"Have you thought about raising your own children, Grigory?",Rashiv
STRM_f03v64,"Not at all, actually.",Lemontov
STRM_f03v65,"You should. I think you're missing out on a lot.",Rashiv
STRM_f03v66,"I'm not the family type. Besides, my life is not suited for that kind of thing. I hardly get back to the mainland as it is.",Rashiv
STRM_f03v67,"Don't you feel like something's missing? That you don't have anyone close to you that you would want to protect? ",Rashiv
STRM_f03v68,"Who whould wait for you and welcome you when you get back? Whom you would snuggle with during long winter nights?",Rashiv
STRM_f03v69,"Are we still talking about children?",Lemontov
STRM_f03v70,"Children and women come in a package - you can't have one without the other.",Rashiv
STRM_f03v71,"You've never thought even about that? I'm not talking marriage, just a relationship that only a man and a woman can have.",Rashiv
STRM_f03v72,"This discussion is over. I need to go anyway.",Lemontov
STRM_f03v73,"We'll get back to this, don't worry. Give my regards to Alexander. Take care, Grigory.",Rashiv
STRM_f03v74,"See you later, Vadim.",Lemontov


-- Officers (Blonsky, Volkov, Frolov)
STRM_f03v75,"Comrade Volkov, comrade Blonsky and comrade Frolov, what brings you here in this early hour?",Lemontov
STRM_f03v76,"You know very well, comrade Lemontov. Comrade Livanokh has arrived and is staying in his villa.",Comment
STRM_f03v77,"He's waiting for you. They don't let anyone else in.",Comment
STRM_f03v78,"That can mean only one thing - we are starting the invasion.",Comment
STRM_f03v79,"That remains to be seen. Are your troops ready?",Lemontov
STRM_f03v80,"As ready as they'll every be. They are anxious to go.",Comment
STRM_f03v81,"True, we have been preparing and getting ready long enough. It is time to act!",Comment
STRM_f03v82,"Comrade Livanokh foretold the current events. It seems everything is going according to plan - there is no more time to waste.",Comment
STRM_f03v83,"I agree, but it's his decision. I'm going upstairs to learn our fate. You should wait for me in the command centre.",Lemontov
STRM_f03v84,"We're waiting here.",Comment
STRM_f03v85,"We want to know as soon as possible.",Comment
STRM_f03v86,"Bring us good tidings, comrade Lemontov.",Comment
STRM_f03v87,"I'll be sure to mention your eagerness. I'll be right back.",Lemontov

-- Entrance to villa
STRM_f03v88,"As expected, there they are. I can check with them before going in.",Lemontov
STRM_f03v89,"Comrade major Lemontov, welcome. Comrade Livanokh is expecting you. He's upstairs in his office.",Villa guard

-- Livanokh
STRM_f03v90,"Sasha, welcome back.",Lemontov
STRM_f03v91,"Grigory, it's good to be back.",Livanokh
STRM_f03v92,"How's the situation on the island?",Livanokh
STRM_f03v92,"The army is ready and keen on fighting. The supplies are not ideal, but that comes with our remote location. We have enough to last the first phase.",Lemontov
STRM_f03v93,"Good. Try to finish up whatever is left by the evening, we are going in no matter what this very night.",Livanokh
STRM_f03v94,"The stars have aligned?",Lemontov
STRM_f03v95,"I've read the report. The situation could not be better for us. The Americans are in disarray and the rebels control the south-west. ",Livanokh
STRM_f03v96,"We come in force. After we helped them out, the rebels won't expect us to strike at them from the sea. We take control and we force the Americans to withdraw.",Comment
STRM_f03v97,"Everon shall be ours within a week.",CommLivanokhent
STRM_f03v98,"So, the plan stands. And after, Malden?",Lemontov
STRM_f03v99,"Once we stabilise our position and get in more supplies and men, yes. Malden will be the true test of the might of the Russian bear.",Livanokh
STRM_f03v100,"You followed me, Grigory, through good and bad - I ask you to follow me one last time.",Livanokh
STRM_f03v101,"Of course, Sasha. I know what this means to you. You will get your revenge and the world will see the west for what they truly are.",Lemontov
STRM_f03v102,"Thank you, Grigory, I know I can always rely on you. Thank you for your trust and know that I trust you back fully.",Livanokh
STRM_f03v103,"We strived all our lives to change the status quo - to correct the unfair and to punish the wicked.",Livanokh
STRM_f03v104,"We are close, so very close, there are only a few steps before my plan comes into fruition - the hardest steps.",Livanokh
STRM_f03v105,"I am glad to have you by my side, Grigory. Together, we shall rewrite history. Together, we shall change the world.",Livanokh
STRM_f03v106,"Make the preparations. Tonight, we march forth. Our moment has finally come.",Livanokh
STRM_f03v107,"To victory, Grigory!",Livanokh
STRM_f03v108,"To victory, Sasha! I won't disappoint you! Together, we shall be unstoppable!",Lemontov


STRM_HINT_KUZNETSOV,"Talked with Kuznetsov",Kuznetsov check
STRM_HINT_RASHIV,"Talked with Rashiv",Rashiv check
STRM_HINT_OFFICERS,"Talked with the officers",Officers check

STRM_MARKER_LIVANOKH,"Livanokh's Villa",Villa
STRM_MARKER_RASHIV,"Rashiv",Rashiv
STRM_MARKER_KUZNETSOV,"Kuznetsov",Kuznetsov
STRM_MARKER_OFFICERS,"Officers",Officers
