LANGUAGE,English,Comment

STRM_YEAR_1,"Year 1",Year 1
STRM_YEAR_2,"Year 2",Year 2
STRM_YEAR_3,"Year 3",Year 3
STRM_YEAR_4,"Year 4",Year 4
STRM_YEAR_5,"Year 5",Year 5
STRM_YEAR_6,"Year 6",Year 6
STRM_YEAR_7,"Year 7",Year 7

STRM_f04v01,"Prisoner Grigory Lemontov, you have a visitor. I'm to take you to the base.",Guard
STRM_f04v02,"Follow me.",Guard
STRM_f04v03,"Go inside and take a seat, your visitor will be here shortly.",Guard
STRM_f04v04,"Hello, Mr Lemontov.",Dyaconsen
STRM_f04v05,"It has been a while. How are you?",Dyaconsen
STRM_f04v06,"They told me you do not speak too much, but I would expect at least a simple 'Hello'.",Dyaconsen
STRM_f04v07,"I can only imagine how you are feeling. Believe me, I know it's difficult. Not sure how I would cope with it myself.",Dyaconsen
STRM_f04v08,"This is not one would imagine the menace of the east - sitting silently, without motion, defeated. It seems you have given up.",Dyaconsen
STRM_f04v09,"Is this how you see the next fourteen years? Held up in that small cell looking at the wall? Doesn't seem overly productive to me.",Dyaconsen
STRM_f04v10,"Have you come to mock me?",Lemontov
STRM_f04v11,"Not at all. I thought you would appreciate the company.",Dyaconsen
STRM_f04v12,"I lost everything that was ever dear to me. I was forced to kill my own brother, betraying my comrades and my country.",Lemontov
STRM_f04v13,"Branded as a traitor by my people and a murderer by you, your company is the very last thing I require.",Lemontov
STRM_f04v14,"I see you're full of anger and hatred. Your guilt is dragging you down and it makes the world seem bleak.",Dyaconsen
STRM_f04v15,"You will get over it, I can promise you that. The pain will recede and you will heal - all in due time.",Dyaconsen
STRM_f04v16,"Speaking from experience?",Lemontov
STRM_f04v17,"We are from the same cloth, Mr Lemontov. If anyone can understand you, it's only someone like you.",Dyaconsen
STRM_f04v18,"We are nothing alike.",Lemontov
STRM_f04v19,"More than you might realize.",Dyaconsen
STRM_f04v20,"Did you have to destroy the only thing that made sense in your life? Did you have to betray everything you were taught to believe from birth?",Lemontov
