LANGUAGE,English,Comment

STRM_x00v01,"Hey Patrick, you're early here today. Ready to see if they still bite?",lighthouse keeper
STRM_x00v02,"Man, they better do. Yesterday was pretty weak. I'm not supposed to show my face at home until I bring something worthwhile.",fisherman
STRM_x00v03,"Your wife's making your life difficult as always, eh? Are you up for tonight then?",lighthouse keeper
STRM_x00v04,"Sure I am, Jacques. I may be late but I'll definitely come.",fisherman
STRM_x00v05,"But now, let us see if you are still the best angler on the island.",fisherman
STRM_x00v06,"Ha ha, then let me show you how it's done.",lighthouse keeper

STRM_x00v07,"Hey, what does a man have to do to get fuel around here?",rich man
STRM_x00v08,"After the broadcast, fella. I wouldn't want to miss this for the world.",fuel man
STRM_x00v09,"Now keep quiet, it's starting!",fuel man

STRM_x00v10a,"You are listening to Le Marquis radio station. This morning is one of the most important dates of the old and noble republic of Everon.",radio
STRM_x00v10b,"We experienced a major outrage during the last presidential elections\nwhich were won by a populist right-wing candidate Edouard Daladier",radio
STRM_x00v10c,"who defeated the old time favourite Philippe Petain with the difference of one vote.",radio
STRM_x00v11a,"It was very heated in the parliament during the inauguration ceremony\nand it was boiling after Edouard Daladier presented his new government policies",radio
STRM_x00v11b,"which would transfer most if not all responsibilities from parliament to the office of the president.",radio
STRM_x00v11c,"Most senior politicians called him a fascist dictator and had to be escorted from the building.",radio
STRM_x00v12a,"His reforms unpopular, he faced three no-confidence votes which he survived with the support of his party and a few liberal turncoats.",radio
STRM_x00v12b,"Tensions grew as his bill finally passed the lower house and was close to being ratified.",radio
STRM_x00v12c,"The liberal party disputed the validity of the process and declared they would no longer take part in the parliament\nand walked out the same day.",radio
STRM_x00v13a,"Supporters of both sides clashed in the streets and even the militia couldn't keep the peace.\nAfter the latest riots in Lamentin the president declared a national emergency.",radio
STRM_x00v13b,"He asked the militia for support which he requires if he wishes to push his bill through the upper house during an emergency.",radio
STRM_x00v13c,"Gaston Astier, the general of the militia, refused to do so and was labelled as a traitor by Daladier.",radio
STRM_x00v14a,"With the political instability, unrest in the streets, opposition of the army and the inability of the government to function, \nwe are standing on the verge of a civil war.",radio
STRM_x00v14b,"Yesterday, Daladier agreed to meet with Astier in an effort to de-escalate the conflict.",radioo
STRM_x00v14c,"At the moment these two men hold the most power on the island and their meeting could shape the future of the republic of Everon.",radio
STRM_x00v15a,"Our correspondent is present at this meeting taking place in Montignac, the capital city, and will be giving us the latest information.",radio
STRM_x00v15b,"Stay tuned to Le Marquis radio, the only news radio outlet in the archipelago.\nAnd may God be with us.",radio

STRM_x00v16,"There he is, Gaston. Are you ready?",Jean
STRM_x00v17,"Let's get this over with. You got my back?",Gaston
STRM_x00v18,"Always.",Jean

STRM_x00v19,"Good morning, Mr Daladier.",Astier
STRM_x00v20,"Greetings, Gaston Astier. It is good to see you.",Daladier
STRM_x00v21,"Can't say I feel the same.",Astier
STRM_x00v22,"Why the hostility?",Daladier
STRM_x00v23,"I am this close to commanding my militia to arrest you.",Astier
STRM_x00v24,"That would be unfortunate as my men would resist you. You would plunge our island into a civil strife.",Daladier
STRM_x00v25,"Better a civil war than a dictatorship.",Astier
STRM_x00v26,"You are willing to go far, I can see that. What do you propose then?",Daladier
STRM_x00v27,"Give up power. Confess you manipulated the elections. Walk away and let us return to peace again.",Astier
STRM_x00v28a,"You do not seem to understand, I was elected by a democratic process. There was no falsifying, fraud or disinformation.\nI convinced people that we needed change.",Daladier
STRM_x00v28b,"The armies of both superpowers are on our borders\nand only a strong leader can deter them from turning our island into a battleground again.\nAnd a strong leader can't be held back by old men in parliament and naysayers.",Daladier
STRM_x00v29,"If this is truly your vision for our republic then we have nothing more to discuss.\nReady your men because I will come for you tomorrow.",Astier
STRM_x00v30,"I expected you would see things this way. Luckily I made arrangements. I will not let you destroy everything we built here!",Daladier

STRM_x00v31,"Do you hear that?",keeper
STRM_x00v32,"Yeah. Did we miss the announcement about a plane day again?",fisherman
STRM_x00v33,"Look! Over the sea!",lighthouse keeper

STRM_x00v34,"You sold us out?! To the Americans?!",Astier
STRM_x00v35,"It's either that or the Soviets. You must see it too!",Daladier
STRM_x00v36,"Coward. We are free people and not slaves to some grand masters beyond the sea!",Astier
STRM_x00v37,"You and your backwards thinking are done, Astier. Soldiers, arrest that man!",Daladier

STRM_x00v38,"He's getting away!",American
STRM_x00v39,"There he is!",American
STRM_x00v40,"Stay where you are or we will shoot!",Police

STRM_x00v41,"Gaston, quickly get in!",Jean
STRM_x00v42,"Thank you, Jean. You just saved my life.",Astier
STRM_x00v43,"Hold on, friend. Our battle is just beginning.",Jean
