LANGUAGE,English,Czech,Comment

STRM_x04v01,"Postmaster Belsky!","",Ablomov
STRM_x04v02,"You again...","",Belsky
STRM_x04v03,"Will you finally tell me why are my letters not going through?","",Ablomov
STRM_x04v04,"Comrade Ablomov, you have been nagging me for days now. Don't you have other things to do?","",Belsky
STRM_x04v05,"I'm not leaving until you tell me.","",Ablomov
STRM_x04v06,"I'll repeat what I already told you - our supply routes are long and there have been delays.","",Belsky
STRM_x04v07,"Comrade Belsky, just yesterday I saw a number of new ships in the port unloading cargo.","",Ablomov
STRM_x04v08,"Weapons and medecine are of higher priority and they get through the delays quicker...","",Belsky
STRM_x04v09,"Bullshit! I could have believed you few weeks back, but I know that's not the case!","",Ablomov
STRM_x04v10,"Everything was smooth while we were fighting on Kolguyev! Ever since our victory and reconquest of Everon, I have not received a single reply and I doubt my letters are going through either.","",Ablomov
STRM_x04v11,"Should I ask around and find out how many other soldeirs have the same issue even if they themselves do not realize it?","",Ablomov
STRM_x04v12,"This is unbecoming of you. I should report you to your commanding officer!","",Belsky
STRM_x04v13,"Do that, I don't care. The more people we involve, the better. Everyone should be concerned there is no communication between us and the mainland!","",Ablomov
STRM_x04v14,"Alright, not so loud! You don't know what you're getting yourself into!","",Belsky
STRM_x04v15,"So, you admit there is something going on. Talk.","",Ablomov
STRM_x04v16,"It is dangerous, comrade Ablomov, you have no idea. It is far greater than you or me. You should drop it and walk away.","",Belsky
STRM_x04v17,"I already said I'm not going anywhere. Tell me.","",Ablomov
STRM_x04v18,"Nobody outside my group should know. You must keep it to yourself, no questions!","",Belsky
STRM_x04v19,"Alright, alright, just tell me already!","",Ablomov
STRM_x04v20,"There has been an order - from very high up - to cut off all communication to and from the archipelago. Letters, packages, telegrams, fax messages - nothing gets through.","",Belsky
STRM_x04v21,"There is a big warehouse on Kolguyev where all items are stored. They are not forwarded to their recipients.","",Belsky
STRM_x04v22,"Why would someone do that?","",Ablomov
STRM_x04v23,"Why, comrade Ablomov, think! Who would have the necessary authority? Who would have a reason? Who would benefit from it?","",Belsky

STRM_x04v24,"Comrade Lemontov, welcome. Now, we're only awaiting the arrival of comrade Volkov. You haven't met with comrade Kukushkin, have you? Our new tank corps commander.","",Zubarev
STRM_x04v25,"It is an honour and a pleasure, comrade Lemontov.","",Kukushkin
STRM_x04v26,"I heard comrade Frolov died. How did it happen?","",Lemontov
STRM_x04v27,"It was a bloody battle in the hills of Kolguyev. We were outnumbered, but he fought like a lion. We won, but comrade Frolov died later in the hospital.","",Kukushkin
STRM_x04v28,"Did he have his sunglasses on him?","",Lemontov
STRM_x04v29,"I'm not sure, we never found them.","",Kukushkin

STRM_x04v30,"Comrade Army general, colonel Vladimir Volkov!","",Soviet soldier
