LANGUAGE,English,Comment

COMMENT,"------------------- Part 1 -------------------",

COMMENT,"------------------- In fron of hangars -------------------",
STRM_x05v01,"Take some men and secure this hangar, Kaplinsky. I'll check the other one.",Lemontov
STRM_x05v02,"Yes, comrade Lemontov.",Kaplinsky
STRM_x05v03,"Vasily, Artyom, come here!",Kaplinsky

COMMENT,"------------------- Lemontov meets Dyaconsen inside hangar -------------------",
STRM_x05v04,"So, it really is true. You are leading them.",Dyaconsen
STRM_x05v05,"George? Is that you?",Lemontov
STRM_x05v06,"In the flesh. I told you we would meet again. I was hoping it would be under different circumstances...",Dyaconsen
STRM_x05v07,"I'm still bound by my orders and loyalty, but I presume you already figured everything out.",Dyaconsen
STRM_x05v08,"They told me, that's why I'm here.",Lemontov
STRM_x05v09,"I said it before and I'll say it again - I am sorry.",Dyaconsen
STRM_x05v10,"You thought it was a good idea to keep it a secret from me? Even though I lived next door for years?",Lemontov
STRM_x05v11,"I had orders I had to follow, no matter how much I disagreed. And I still do. I think we made a terrible mistake.",Dyaconsen
STRM_x05v12,"I concur. I can see it's not in here, that's clear. Tell me where it's hidden, I need to destroy it.",Lemontov
STRM_x05v13,"It? Interesting. Is that your way of coping nowadays?",Dyaconsen
STRM_x05v14,"Cut the crap, George, the others are right behind me and we haven't got much time. Tell me where it is.",Lemontov
STRM_x05v15,"Whatever you call it, Grigory, my orders are to not let you through.",Dyaconsen
STRM_x05v16,"Is this what the last eight years led to? Do you want this to end with us gunning each other down in a fucking hangar?",Lemontov
STRM_x05v17,"We are still on the other side of the barricade. I warned you this would happen.",Dyaconsen
STRM_x05v18,"Look around you, George, you have lost, we have taken control of the facility. It's only a matter of time before they find it.",Lemontov
STRM_x05v19,"But I need to find it first. You trusted me once before, trust me this last time.",Lemontov
STRM_x05v20,"Leave, get back to Malden, live to fight another day.\nLet me handle the bomb, then I take over the army and I promise we shall leave this whole area for good.",Lemontov
STRM_x05v21,"A bomb? What are you...",Dyaconsen
STRM_x05v22,"Comarade Lemontov, we need to go! Immediately!",Kaplinsky
STRM_x05v23,"Get out of here, George...",Lemontov
STRM_x05v24,"Grigory, wait, I...",Dyaconsen
STRM_x05v25,"They're coming, go!",Lemontov
STRM_x05v26,"But...",Dyaconsen
STRM_x05v27,"Go, for fuck's sake!",Lemontov

COMMENT,"------------------- Kaplinsky intercepts -------------------",
STRM_x05v28a,"Comrade Lemontov?",Kaplinsky
STRM_x05v28b,"Did you find anything?",Kaplinsky
STRM_x05v29,"What is it, Kaplinsky?",Lemontov
STRM_x05v30,"Comrade Volkov is requesting our presence. In the eastern base, up ahead.",Kaplinsky
STRM_x05v31,"What? He's here?",Lemontov
STRM_x05v32,"He'll explain everything. A car is waiting for us, come with me.",Kaplinsky

COMMENT,"------------------- Part 2 -------------------",

COMMENT,"------------------- Lemontov betrayed -------------------",
STRM_x05v33,"Comrade Lemontov, so nice of you to join us.",Volkov
STRM_x05v34,"What is going on? How are you all here?",Lemontov
STRM_x05v35,"We'll explain everything, comrade Lemontov, everything. But first, comrade Kaplinsky?",Volkov
STRM_x05v36,"Drop your weapon, comrade Lemontov.",Kaplinsky
STRM_x05v37,"What are you doing?",Lemontov
STRM_x05v38,"Disarming you, comrade. The weapon, drop it.",Kaplinsky
STRM_x05v39,"What the fuck is the meaning of this? Have you gone mad?",Lemontov
STRM_x05v40,"We are so close to victory, I had it all under control. Let me get back to the hangars and...",Lemontov
STRM_x05v41,"No need. You are exactly where you are supposed to be.",Volkov
STRM_x05v42,"Traitors.",Lemontov
STRM_x05v43,"You are surrounded, Lemontov. Drop your gun, or would you rather be shot?",Zubarev
STRM_x05v44,"I am quick enough to take one down with me. Care to volunteer, Zubarev?",Lemontov
STRM_x05v45,"I would like to see you try.",Zubarev
STRM_x05v46,"Don't test me.",Lemontov
STRM_x05v47,"Gentlemen, please, there is no need for this. Let's keep this civilized.",Volkov
STRM_x05v48,"Drop your weapon, comrade Lemontov, there is no room for you to get out of this. ",Volkov
STRM_x05v49,"We don't want to kill you...",Volkov
STRM_x05v50,"Not yet...",Zubarev
STRM_x05v51,"... if we wanted you dead we've had plenty of opportunity before.",Volkov
STRM_x05v52,"We have matters to discuss and believe you me, you will want to hear what is about to be said.",Volkov
STRM_x05v53,"Shit.",Lemontov
STRM_x05v54,"Good, let us proceed. All clear!",Volkov
STRM_x05v55,"No, no, no, no... not possible. Not real. It can't be... It must not...",Lemontov

COMMENT,"------------------- Livanokh reveal -------------------",
STRM_x05v56,"Hello, brother. Did you miss me?",Livanokh
STRM_x05v57,"How is this possible? You're supposed to be dead!",Lemontov
STRM_x05v58,"And yet here I stand and breathe as a free man for the first time in years in no small part thanks to you.",Livanokh
STRM_x05v59,"All hail comrade Alexander Livanokh!",Volkov
STRM_x05v60,"Hail!",everyone
STRM_x05v61,"Did you never stop to wonder whether I was truly dead? Whether that single bullet was enough to end me?",Livanokh
STRM_x05v62,"Especially a bullet fired from a gun in unsteady hands. You killed so many in my name yet you failed to kill me.",Livanokh
STRM_x05v63,"And so, at long last, I am back! Determined to finish what I started.",Livanokh
STRM_x05v64,"The world will learn to fear my name once more when the west coast of the United States is engulfed in flames and nuclear fallout.",Livanokh
STRM_x05v65,"I shall do hwt was once denied to me. The fall of the current world order is inevitable.",Livanokh
STRM_x05v66,"You're insane and you will be stopped.",Lemontov
STRM_x05v67,"By whom? You don't seem in any position to threaten me. Perhaps you mean your friends?",Livanokh
STRM_x05v68,"We know about your little group - comrades Shaposhnikov and Rashiv. We shall take care of them before they can cause any trouble.",Volkov
