LANGUAGE,English,Comment

STRCN_x00,-- Prologue --,Cinematic

STRCN_00,Uprising,Poincare

STRCN_x01,-- Chapter I --,Cinematic - Flashpoint

STRCN_01,First Strike,Rashiv
STRCN_02,Course North,Rashiv
STRCN_03,Support,Rashiv
STRCN_04,Morning Rain,Rashiv
STRCN_05,Lost Patrol,Rashiv
STRCN_06,Reversal,Rashiv
STRCN_07,Retreat,Rashiv
STRCN_08,Resistance,Rashiv
STRCN_09,Testing the Mettle,Rashiv
STRCN_10,Lion Head,Rashiv
STRCN_11,Setting Sail,Rashiv
STRCN_12,Respite,Rashiv
STRCN_13,Defenders,Rashiv
STRCN_14,Death to Tanks,Rashiv

STRCN_x02,-- Chapter II --,Cinematic - Battle for Kolguyev

STRCN_15,Counterattack,Rashiv
STRCN_16,Tank Platoon,Kukushkin
STRCN_17,Heavy Ride,Kukushkin
STRCN_18,Reconnaissance,Rashiv
STRCN_19,Death in Flames,Lemontov
STRCN_20,Storm,Kukushkin
STRCN_21,Lieutenant,Rashiv
STRCN_22,Siege,Rashiv
STRCN_23,Ghosts,Lemontov
STRCN_24,Offensive,Kukushkin
STRCN_25,Air Support,Ablomov
STRCN_26,Squadron,Ablomov
STRCN_27,Night Owls,Lemontov
STRCN_28,Tempered Steel,Rashiv
STRCN_29,Red Hammer,Kukushkin
STRCN_30,Checkmate,Ablomov

STRCN_x03,-- Chapter III --,Cinematic - Reclamation

STRCN_31,Envoy,Rashiv
STRCN_32,Winter Chill,Lemontov
STRCN_33,Return to Everon,Rashiv
STRCN_34,Blitz,Kukushkin
STRCN_35,Supremacy,Ablomov
STRCN_36,Betrayal,Lemontov
STRCN_37,Russian Bear,Kukushkin
STRCN_38,Red Skies,Ablomov

STRCN_x04,-- Chapter IV --,Cinematic - Homecoming

STRCN_39,Vanguard,Lemontov
STRCN_40a,Final Sequence,Ablomov
STRCN_40b,Stormriders,Ablomov
STRCN_41,Attack on Malden,Rashiv
STRCN_42,Secret Intensions,Lemontov

STRCN_x05,-- Chapter V --,Cinematic

STRCN_43,Awakening,Rashiv
STRCN_44,Liberation,Rashiv
STRCN_45,Vengeance,Lemontov
STRCN_46,Might of the Red Hand,Lemontov
STRCN_47,Phoenix,Frolov
STRCN_48,On the run,Lemontov
STRCN_49,Second Wind,Ablomov
STRCN_50,Escape,Lemontov
STRCN_51,Old Friend,Lemontov
STRCN_52,Ashes of the Old World,Lemontov
STRCN_53,Countdown to Zero,Lemontov
STRCN_54,Red Dawn,Lemontov

STRCN_x06,-- Epilogue --,Cinematic
STRCN_Flashback,-- Flashback --,Lemontov

STRC_MARKER_START,Starting Position,MARKER
STRC_MARKER_SEIZE,Seize,MARKER
STRC_MARKER_DESTROY,Destroy,MARKER

STRC_AwayRashivPrivate,"HEY RASHIV, WHERE DO YOU THINK YOU'RE GOING? GET BACK TO FORMATION IMMEDIATELY!",dostoevsky
STRC_AwayRashivAlone,"This is not the right way... I should head back...",rashiv
STRC_AwayRashivCorporal,"RASHIV, THE BATTLEFIELD IS THIS WAY! GET BACK TO FORMATION!",shaposhnikov
STRC_AwayRashivLemontov,"RASHIV, I GAVE YOU AN ORDER, DIDN'T I? STOP FUCKING AROUND AND GET BACK TO THE MISSION!",lemontov
STRC_AwayRashiv,"This is not the time to falter. I have to get back to the mission.",Rashiv
STRC_AwayKukushkinPlatoon,"KUKUSHKIN, WHERE THE HELL ARE YOU GOING? TURN THAT TANK AROUND AND RETURN TO YOUR MISSION! BAZA OUT.",baza
STRC_AwayKukushkin,"My comrades need me. I need to return to the mission and fight on!",Kukushkin
STRC_AwayLemontov,"I can't leave. Not yet. I must finish what I started.",lemontov
STRC_AwayAblomovSquadron,"ABLOMOV, CHECK YOUR CURSE, MAN. YOU'RE HEADING THE WRONG WAY. GET BACK TO THE MISSION. FIREFLY OUT.",firefly
STRC_AwayAblomov,"I am way off course. I should turn this thing around and get back to the mission.",Ablomov

STRC_END_SUCCESS,Mission completed,end
STRC_END_FAILURE,Mission failed,end
STRC_END_ABORTED,Mission aborted,end

STR_CFG_GRPNAMES_ALPHA,"Anton",Anton
STR_CFG_GRPNAMES_BRAVO,"Boris",Boris
STR_CFG_GRPNAMES_CHARLIE,"Leonid",Leonid
STR_CFG_GRPNAMES_DELTA,"Dmitry",Dmitry
STR_CFG_GRPNAMES_ECHO,"Yelena",Yelena
STR_CFG_GRPNAMES_FOXTROT,"Fyodor",Fyodor
STR_CFG_GRPNAMES_GOLF,"Konstantin",Konstantin
STR_CFG_GRPNAMES_HOTEL,"Tatyana",Tatyana
STR_CFG_GRPNAMES_NOVEMBER,"Ulyana",Ulyana
STR_CFG_GRPNAMES_KILO,"Ivan",Ivan
STR_CFG_GRPNAMES_YANKEE,"Yury",Yury
STR_CFG_GRPNAMES_ZULU,"Roman",Roman
STR_CFG_PAPABEAR,"BAZA",BAZA

STRC_KOLGUYEV_BASE1,"Tobol",kolguyev base
STRC_KOLGUYEV_BASE2,"Oka",kolguyev base
STRC_KOLGUYEV_BASE3,"Neva",kolguyev base
STRC_KOLGUYEV_BASE4,"Lena",kolguyev base
STRC_KOLGUYEV_BASE5,"Ob",kolguyev base
STRC_KOLGUYEV_BASE6,"Irtysh",kolguyev base
STRC_KOLGUYEV_BASE7,"Yenisei",kolguyev base
STRC_KOLGUYEV_BASE8,"Dnieper",kolguyev base
STRC_KOLGUYEV_BASE9,"Amur",kolguyev base
STRC_KOLGUYEV_BASE10,"Don",kolguyev base
STRC_KOLGUYEV_BASE11,"Volga",kolguyev base
STRC_KOLGUYEV_BASE12,"Kama",kolguyev base

STRC_KOLGUYEV_VILLAGE1,"Solikhov",kolguyev village
STRC_KOLGUYEV_VILLAGE2,"Arzapol",kolguyev village
STRC_KOLGUYEV_VILLAGE3,"Astrabirsk",kolguyev village
STRC_KOLGUYEV_VILLAGE4,"Malsk",kolguyev village
STRC_KOLGUYEV_VILLAGE5,"Saragorod",kolguyev village
STRC_KOLGUYEV_VILLAGE6,"Chernoborg",kolguyev village
STRC_KOLGUYEV_VILLAGE7,"Severovodsk",kolguyev village

STRC_KOLGUYEV_PORT1,"Menshiy Rot",kolguyev port
STRC_KOLGUYEV_PORT2,"Bolshoy Rot",kolguyev port
